tick;adc
0.000000;0.088898
1.000000;1.882278
2.000000;-0.503677
3.000000;-3.233749
4.000000;0.617325
5.000000;-1.811981
6.000000;3.289597
7.000000;-0.223114
8.000000;4.885086
9.000000;-3.049164
10.000000;0.947281
11.000000;-3.523636
12.000000;0.275742
13.000000;-3.838943
14.000000;-1.596680
15.000000;-3.223068
16.000000;-0.024979
17.000000;5.882629
18.000000;3.070099
19.000000;0.448029
20.000000;1.638672
21.000000;-7.079315
22.000000;0.593658
23.000000;1.337463
24.000000;2.807251
25.000000;2.697403
26.000000;-2.971420
27.000000;0.407089
28.000000;-0.208206
29.000000;-0.075043
30.000000;0.953598
31.000000;1.635513
32.000000;-1.628845
33.000000;-3.924316
34.000000;2.155975
35.000000;3.853058
36.000000;6.020737
37.000000;-2.791595
38.000000;-8.929108
39.000000;6.259766
40.000000;2.651199
41.000000;3.909653
42.000000;-3.111664
43.000000;0.151062
44.000000;-3.979843
45.000000;1.944229
46.000000;1.003250
47.000000;1.480606
48.000000;2.739441
49.000000;0.818604
50.000000;-1.526535
51.000000;-1.092987
52.000000;2.206848
53.000000;-3.670120
54.000000;0.971436
55.000000;-1.509415
56.000000;1.696274
57.000000;3.214920
58.000000;-2.446854
59.000000;3.403595
60.000000;-2.778625
61.000000;-0.389038
62.000000;-1.676071
63.000000;-0.966766
64.000000;-1.247528
65.000000;1.183380
66.000000;1.954483
67.000000;-1.424408
68.000000;2.450836
69.000000;0.075836
70.000000;-3.754623
71.000000;-3.347702
72.000000;1.030945
73.000000;4.869553
74.000000;1.440262
75.000000;-1.358856
76.000000;-0.193863
77.000000;2.772812
78.000000;1.954636
79.000000;1.918701
80.000000;3.740692
81.000000;-1.347626
82.000000;-12.152618
83.000000;0.937439
84.000000;5.189728
85.000000;0.297409
86.000000;1.767746
87.000000;3.279694
88.000000;2.340088
89.000000;2.402039
90.000000;-1.062820
91.000000;-0.703659
92.000000;-10.789841
93.000000;5.440369
94.000000;2.787857
95.000000;3.705353
96.000000;6.206436
97.000000;1.375748
98.000000;-3.016006
99.000000;0.877319
100.000000;4.992188
101.000000;-1.721939
102.000000;6.704941
103.000000;0.412415
104.000000;-6.482666
105.000000;0.465286
106.000000;4.183945
107.000000;-1.300308
108.000000;-1.916992
109.000000;-1.701218
110.000000;3.970428
111.000000;3.241913
112.000000;-0.654388
113.000000;-2.359116
114.000000;2.373215
115.000000;-4.057663
116.000000;8.147614
117.000000;5.142365
118.000000;-2.736710
119.000000;1.190750
120.000000;2.129791
121.000000;-0.326675
122.000000;-0.345230
123.000000;0.828644
124.000000;-1.035431
125.000000;-7.818756
126.000000;-2.043060
127.000000;2.570557
128.000000;2.370880
129.000000;3.384033
130.000000;-4.977844
131.000000;1.921677
132.000000;3.950195
133.000000;3.620941
134.000000;4.843857
135.000000;2.908997
136.000000;-3.910873
137.000000;-5.537781
138.000000;1.505661
139.000000;2.893448
140.000000;-1.515976
141.000000;3.336243
142.000000;-4.565521
143.000000;-1.380112
144.000000;8.825790
145.000000;0.725739
146.000000;4.035950
147.000000;-1.031006
148.000000;-3.846954
149.000000;-4.200653
150.000000;-0.400375
151.000000;5.806213
152.000000;2.224030
153.000000;-1.844086
154.000000;-1.540649
155.000000;-1.687103
156.000000;0.929749
157.000000;-2.664413
158.000000;3.574097
159.000000;-1.721054
160.000000;2.072983
161.000000;-1.972717
162.000000;-2.412552
163.000000;3.147766
164.000000;2.478546
165.000000;-1.347763
166.000000;-0.323578
167.000000;6.224823
168.000000;0.538132
169.000000;-1.336731
170.000000;3.384262
171.000000;-3.037216
172.000000;-1.600052
173.000000;1.893402
174.000000;-0.341293
175.000000;-4.984818
176.000000;0.286728
177.000000;-0.091980
178.000000;-2.726715
179.000000;4.474548
180.000000;5.088638
181.000000;-4.389191
182.000000;0.833176
183.000000;-8.878052
184.000000;3.225769
185.000000;5.122742
186.000000;0.480667
187.000000;-2.970032
188.000000;-0.258926
189.000000;1.144943
190.000000;0.910461
191.000000;0.545609
192.000000;-1.486984
193.000000;-1.913208
194.000000;-3.725388
195.000000;3.252426
196.000000;5.442108
197.000000;-1.199692
198.000000;0.303177
199.000000;-7.766647
200.000000;3.981796
201.000000;3.716537
202.000000;3.979156
203.000000;-4.956177
204.000000;-0.143921
205.000000;-1.229965
206.000000;2.944656
207.000000;5.820267
208.000000;-9.918060
209.000000;3.786163
210.000000;2.051788
211.000000;4.817902
212.000000;-5.003586
213.000000;-3.747025
214.000000;1.863220
215.000000;5.590240
216.000000;1.002792
217.000000;0.134232
218.000000;-0.848328
219.000000;1.338074
220.000000;-2.427933
221.000000;-4.314560
222.000000;2.992462
223.000000;0.065811
224.000000;1.713974
225.000000;-3.186050
226.000000;1.436478
227.000000;3.334793
228.000000;1.372696
229.000000;0.671677
230.000000;3.099075
231.000000;0.326950
232.000000;-2.715500
233.000000;2.740219
234.000000;1.418991
235.000000;-4.585281
236.000000;0.509537
237.000000;0.178375
238.000000;3.889206
239.000000;-1.750412
240.000000;1.189957
241.000000;-1.558792
242.000000;1.670227
243.000000;-0.327835
244.000000;1.539352
245.000000;7.490463
246.000000;-8.678909
247.000000;0.754395
248.000000;-1.040771
249.000000;7.566788
250.000000;-0.196945
251.000000;-3.655472
252.000000;1.167892
253.000000;1.326599
254.000000;-2.700790
255.000000;1.701874
256.000000;-2.022369
257.000000;-0.536606
258.000000;-0.021240
259.000000;1.083313
260.000000;-1.838074
261.000000;5.017899
262.000000;-3.560364
263.000000;-0.199799
264.000000;-0.568573
265.000000;-2.027954
266.000000;1.497482
267.000000;1.362701
268.000000;8.918411
269.000000;-4.301239
270.000000;2.266022
271.000000;0.979431
272.000000;0.356857
273.000000;-5.353210
274.000000;-0.035263
275.000000;1.517380
276.000000;0.191956
277.000000;-0.058868
278.000000;-0.090240
279.000000;-0.065704
280.000000;-2.730499
281.000000;-1.815979
282.000000;-0.868637
283.000000;3.278717
284.000000;-2.154739
285.000000;-1.837158
286.000000;7.071350
287.000000;-1.457275
288.000000;-2.806458
289.000000;-0.075317
290.000000;3.813599
291.000000;-1.101273
292.000000;-3.112869
293.000000;0.603104
294.000000;-0.182663
295.000000;3.339462
296.000000;-5.029465
297.000000;5.152084
298.000000;-5.979492
299.000000;0.809113
300.000000;1.179611
301.000000;-1.067352
302.000000;-3.599701
303.000000;-7.680344
304.000000;7.182220
305.000000;1.238785
306.000000;0.077774
307.000000;-4.657867
308.000000;3.193253
309.000000;3.638870
310.000000;2.103683
311.000000;3.617249
312.000000;-6.893433
313.000000;-1.374878
314.000000;3.517776
315.000000;4.450302
316.000000;-0.125153
317.000000;-1.567291
318.000000;1.594559
319.000000;-8.594788
320.000000;-0.267578
321.000000;2.794052
322.000000;3.962860
323.000000;1.540085
324.000000;-2.955627
325.000000;4.179169
326.000000;0.534882
327.000000;-0.023605
328.000000;2.649475
329.000000;-3.532425
330.000000;-2.591324
331.000000;1.468582
332.000000;-2.117554
333.000000;2.139542
334.000000;-0.886108
335.000000;0.172989
336.000000;-2.370285
337.000000;1.211151
338.000000;0.340866
339.000000;4.719482
340.000000;-1.317780
341.000000;-6.776016
342.000000;1.188217
343.000000;8.091721
344.000000;4.392227
345.000000;-3.440018
346.000000;-8.312454
347.000000;-1.344864
348.000000;2.094055
349.000000;1.851532
350.000000;8.348877
351.000000;0.744720
352.000000;-3.216125
353.000000;0.353683
354.000000;1.533005
355.000000;0.147522
356.000000;-2.767181
357.000000;-1.865860
358.000000;0.913574
359.000000;0.923660
360.000000;-0.321930
361.000000;2.383621
362.000000;-0.138245
363.000000;-0.363327
364.000000;2.454453
365.000000;-1.881302
366.000000;-3.343994
367.000000;2.488281
368.000000;-2.346603
369.000000;0.888901
370.000000;3.596191
371.000000;-3.941772
372.000000;0.545059
373.000000;-2.733688
374.000000;-1.797623
375.000000;4.573822
376.000000;11.402313
377.000000;-1.644226
378.000000;-4.622986
379.000000;-5.109711
380.000000;-1.270950
381.000000;4.972397
382.000000;3.252426
383.000000;-0.509094
384.000000;-7.396362
385.000000;-4.151749
386.000000;3.352036
387.000000;-0.013428
388.000000;-1.429825
389.000000;-5.652100
390.000000;-0.087097
391.000000;-3.034210
392.000000;1.560684
393.000000;1.358780
394.000000;9.647583
395.000000;-3.145599
396.000000;-4.448608
397.000000;-3.826981
398.000000;1.403748
399.000000;1.278641
400.000000;0.540497
401.000000;2.680389
402.000000;-2.091202
403.000000;-1.960556
404.000000;1.391144
405.000000;-0.792755
406.000000;-1.784515
407.000000;-4.007477
408.000000;-1.712738
409.000000;2.793518
410.000000;1.971893
411.000000;0.830521
412.000000;-3.484665
413.000000;-5.312073
414.000000;4.863556
415.000000;11.858429
416.000000;-4.293762
417.000000;-5.706497
418.000000;-6.550797
419.000000;-5.748001
420.000000;2.155945
421.000000;1.057205
422.000000;3.825760
423.000000;-1.501923
424.000000;-2.716064
425.000000;5.183487
426.000000;-2.840500
