tick;adc
0.000000;193.000000
1.000000;192.592178
2.000000;192.682343
3.000000;193.602463
4.000000;193.451996
5.000000;194.215729
6.000000;193.266953
7.000000;193.472931
8.000000;191.813416
9.000000;192.712143
10.000000;192.197266
11.000000;193.335815
12.000000;193.254868
13.000000;194.696060
14.000000;195.448746
15.000000;196.859863
16.000000;197.273178
17.000000;195.701874
18.000000;194.843216
19.000000;194.581223
20.000000;193.800095
21.000000;195.982483
22.000000;195.810318
23.000000;195.599762
24.000000;194.844772
25.000000;193.999405
26.000000;194.925903
27.000000;194.692123
28.000000;194.816696
29.000000;194.905167
30.000000;194.662109
31.000000;194.186325
32.000000;194.763474
33.000000;196.090958
34.000000;195.528610
35.000000;194.487350
36.000000;192.522308
37.000000;193.206528
38.000000;195.901215
39.000000;193.991379
40.000000;193.322784
41.000000;192.022095
42.000000;192.905029
43.000000;192.659241
44.000000;193.993439
45.000000;193.445480
46.000000;193.327026
47.000000;192.946854
48.000000;192.069305
49.000000;191.745209
50.000000;192.140961
51.000000;192.421814
52.000000;191.702698
53.000000;193.014008
54.000000;192.762604
55.000000;193.467392
56.000000;193.057770
57.000000;192.150085
58.000000;193.022171
59.000000;191.837219
60.000000;192.786362
61.000000;192.889938
62.000000;193.554031
63.000000;194.026306
64.000000;194.656754
65.000000;194.491898
66.000000;194.065247
67.000000;194.677246
68.000000;193.897491
69.000000;193.940155
70.000000;195.200424
71.000000;196.420609
72.000000;196.361679
73.000000;195.078842
74.000000;194.748749
75.000000;195.158356
76.000000;195.144211
77.000000;194.218262
78.000000;193.549744
79.000000;192.785385
80.000000;191.332657
81.000000;191.495911
82.000000;195.303574
83.000000;195.588318
84.000000;194.608093
85.000000;195.111618
86.000000;194.880386
87.000000;194.103912
88.000000;193.544449
89.000000;192.854309
90.000000;193.278976
91.000000;193.588882
92.000000;197.457672
93.000000;196.553879
94.000000;196.521957
95.000000;195.933289
96.000000;194.288055
97.000000;193.978439
98.000000;195.040329
99.000000;194.887848
100.000000;193.546417
101.000000;194.380447
102.000000;192.276688
103.000000;192.187805
104.000000;194.354263
105.000000;194.446457
106.000000;193.520950
107.000000;194.368805
108.000000;195.298386
109.000000;196.254623
110.000000;195.402267
111.000000;194.770004
112.000000;195.248230
113.000000;196.203583
114.000000;195.664124
115.000000;197.395477
116.000000;195.020004
117.000000;193.446030
118.000000;194.245117
119.000000;193.639481
120.000000;192.889618
121.000000;192.968628
122.000000;193.035995
123.000000;192.778320
124.000000;193.205124
125.000000;195.943359
126.000000;197.115417
127.000000;196.907211
128.000000;196.745941
129.000000;196.024826
130.000000;197.940887
131.000000;197.542999
132.000000;196.588028
133.000000;195.594162
134.000000;193.979019
135.000000;192.799957
136.000000;193.822906
137.000000;195.498871
138.000000;195.186676
139.000000;194.615387
140.000000;195.427979
141.000000;194.491959
142.000000;196.237473
143.000000;196.934799
144.000000;194.331024
145.000000;194.142899
146.000000;192.628769
147.000000;192.728012
148.000000;193.756744
149.000000;195.106155
150.000000;195.459976
151.000000;193.851288
152.000000;193.266327
153.000000;193.816620
154.000000;194.211914
155.000000;194.789581
156.000000;194.587463
157.000000;195.658157
158.000000;194.604309
159.000000;195.341003
160.000000;194.672623
161.000000;195.402283
162.000000;196.236755
163.000000;195.301208
164.000000;194.613266
165.000000;195.053757
166.000000;195.069138
167.000000;192.945053
168.000000;192.563614
169.000000;192.686295
170.000000;191.250626
171.000000;192.026077
172.000000;192.317093
173.000000;191.594727
174.000000;191.687027
175.000000;193.283142
176.000000;193.243881
177.000000;193.472748
178.000000;194.547089
179.000000;193.191742
180.000000;191.568237
181.000000;192.847031
182.000000;192.307785
183.000000;195.239334
184.000000;194.467484
185.000000;193.132248
186.000000;193.089294
187.000000;194.007050
188.000000;194.056168
189.000000;193.772003
190.000000;193.571396
191.000000;193.432312
192.000000;193.944824
193.000000;194.611984
194.000000;195.995316
195.000000;195.168732
196.000000;193.625397
197.000000;194.025253
198.000000;193.744766
199.000000;196.284271
200.000000;195.170563
201.000000;194.232132
202.000000;192.980469
203.000000;194.519012
204.000000;194.462463
205.000000;194.988953
206.000000;194.142899
207.000000;192.309891
208.000000;195.525925
209.000000;194.452316
210.000000;194.060837
211.000000;192.606308
212.000000;194.274246
213.000000;195.548920
214.000000;195.199112
215.000000;193.709686
216.000000;193.523560
217.000000;193.440598
218.000000;193.687393
219.000000;193.251160
220.000000;194.157669
221.000000;195.724121
222.000000;195.028290
223.000000;195.400024
224.000000;195.065628
225.000000;196.348724
226.000000;196.062103
227.000000;195.223663
228.000000;194.924240
229.000000;194.728928
230.000000;193.679855
231.000000;193.525223
232.000000;194.354828
233.000000;193.423706
234.000000;193.041855
235.000000;194.618393
236.000000;194.557724
237.000000;194.778732
238.000000;193.715698
239.000000;194.461929
240.000000;194.104828
241.000000;194.755692
242.000000;194.306793
243.000000;194.589691
244.000000;194.184204
245.000000;191.762955
246.000000;194.485611
247.000000;194.270706
248.000000;194.879150
249.000000;192.573563
250.000000;192.637482
251.000000;193.704163
252.000000;193.253845
253.000000;192.914474
254.000000;193.897797
255.000000;193.388611
256.000000;194.227554
257.000000;194.528915
258.000000;194.728699
259.000000;194.562714
260.000000;195.358978
261.000000;193.795731
262.000000;195.063248
263.000000;195.124451
264.000000;195.441467
265.000000;196.272598
266.000000;195.950912
267.000000;195.712280
268.000000;192.806274
269.000000;193.905029
270.000000;192.746567
271.000000;192.174362
272.000000;191.795731
273.000000;193.361145
274.000000;193.300201
275.000000;192.906799
276.000000;192.933914
277.000000;192.955643
278.000000;192.970764
279.000000;192.981277
280.000000;193.902130
281.000000;194.564575
282.000000;195.020294
283.000000;194.116806
284.000000;194.985291
285.000000;195.625183
286.000000;193.324890
287.000000;193.708359
288.000000;194.386520
289.000000;194.256348
290.000000;192.938354
291.000000;193.196854
292.000000;194.018906
293.000000;193.694458
294.000000;193.757278
295.000000;192.584869
296.000000;194.171997
297.000000;192.327148
298.000000;194.249191
299.000000;193.936813
300.000000;193.636688
301.000000;194.038010
302.000000;195.236710
303.000000;197.932449
304.000000;196.006088
305.000000;195.935593
306.000000;195.973740
307.000000;197.522842
308.000000;196.529053
309.000000;195.459335
310.000000;194.707367
311.000000;193.277298
312.000000;195.284317
313.000000;195.610626
314.000000;194.542938
315.000000;193.158478
316.000000;193.081772
317.000000;193.367599
318.000000;192.654846
319.000000;195.493759
320.000000;195.862244
321.000000;195.362381
322.000000;194.396347
323.000000;194.006744
324.000000;194.968765
325.000000;193.530365
326.000000;193.366867
327.000000;193.295822
328.000000;192.332886
329.000000;193.463379
330.000000;194.300705
331.000000;193.961578
332.000000;194.929123
333.000000;194.408615
334.000000;194.935333
335.000000;195.009705
336.000000;195.971039
337.000000;195.746658
338.000000;195.878021
339.000000;194.448807
340.000000;194.917892
341.000000;197.118439
342.000000;196.936859
343.000000;194.591690
344.000000;193.111908
345.000000;193.970154
346.000000;196.448441
347.000000;197.093735
348.000000;196.830429
349.000000;196.641006
350.000000;194.073456
351.000000;193.627365
352.000000;194.356964
353.000000;193.965714
354.000000;193.375031
355.000000;193.262527
356.000000;194.104065
357.000000;194.707550
358.000000;194.514084
359.000000;194.372406
360.000000;194.578598
361.000000;193.809830
362.000000;193.867203
363.000000;193.918594
364.000000;193.040741
365.000000;193.627426
366.000000;194.668411
367.000000;193.890427
368.000000;194.835175
369.000000;194.614548
370.000000;193.529358
371.000000;194.875565
372.000000;194.664825
373.000000;195.700165
374.000000;196.448227
375.000000;195.135025
376.000000;191.423538
377.000000;191.262314
378.000000;192.008698
379.000000;193.154755
380.000000;193.369476
381.000000;191.665543
382.000000;190.411911
383.000000;190.166718
384.000000;192.147903
385.000000;193.339066
386.000000;192.293945
387.000000;192.429688
388.000000;192.848541
389.000000;194.667923
390.000000;194.804443
391.000000;196.052368
392.000000;195.745529
393.000000;195.499130
394.000000;192.283295
395.000000;192.827530
396.000000;193.718628
397.000000;194.652481
398.000000;194.093353
399.000000;193.679352
400.000000;193.393280
401.000000;192.281601
402.000000;192.701019
403.000000;193.019257
404.000000;192.325974
405.000000;192.440704
406.000000;192.832687
407.000000;194.024597
408.000000;194.588547
409.000000;193.741867
410.000000;193.130920
411.000000;192.710175
412.000000;193.637558
413.000000;195.225754
414.000000;193.641449
415.000000;189.683105
416.000000;190.253510
417.000000;191.254608
418.000000;192.875870
419.000000;194.671295
420.000000;194.127426
421.000000;193.982178
422.000000;192.667511
423.000000;192.935669
424.000000;193.457092
425.000000;191.391571
426.000000;191.981934
427.000000;192.479950
428.000000;192.214691
429.000000;194.153534
430.000000;194.401520
431.000000;193.580536
432.000000;193.604874
433.000000;193.326736
434.000000;192.523193
435.000000;191.344070
436.000000;191.722672
437.000000;195.971985
438.000000;194.554962
439.000000;195.245682
440.000000;197.336197
441.000000;195.842987
442.000000;194.655014
443.000000;193.844910
444.000000;196.029648
445.000000;195.552826
446.000000;195.123245
447.000000;194.522034
448.000000;194.096710
449.000000;193.802948
450.000000;193.295090
451.000000;184.713745
452.000000;185.855957
453.000000;191.868332
454.000000;193.324448
455.000000;196.595093
456.000000;200.111633
457.000000;204.145386
458.000000;207.735474
459.000000;211.137085
460.000000;213.859360
461.000000;217.548096
462.000000;222.430939
463.000000;227.005142
464.000000;232.319229
465.000000;237.783981
466.000000;241.987930
467.000000;247.537720
468.000000;253.546585
469.000000;259.079224
470.000000;263.843536
471.000000;265.605804
472.000000;272.483582
473.000000;282.673828
474.000000;287.585083
475.000000;294.215302
476.000000;300.356323
477.000000;307.316498
478.000000;314.168671
479.000000;320.484894
480.000000;326.085571
481.000000;331.474182
482.000000;338.580444
483.000000;345.886353
484.000000;353.160706
485.000000;359.800385
486.000000;365.608734
487.000000;372.352509
488.000000;378.380219
489.000000;385.876678
490.000000;393.734619
491.000000;401.114288
492.000000;409.281525
493.000000;418.184265
494.000000;424.557434
495.000000;432.403595
496.000000;438.970856
497.000000;444.650879
498.000000;451.928162
499.000000;457.416168
500.000000;464.799469
501.000000;471.591034
502.000000;479.019165
503.000000;486.705078
504.000000;496.976685
505.000000;502.916168
506.000000;507.759857
507.000000;514.161133
508.000000;518.640808
509.000000;525.363953
510.000000;527.967102
511.000000;535.601074
512.000000;542.442993
513.000000;550.786926
514.000000;558.282837
515.000000;566.476135
516.000000;574.410583
517.000000;582.364197
518.000000;590.975220
519.000000;596.461731
520.000000;603.490295
521.000000;607.808411
522.000000;614.675903
523.000000;621.965759
524.000000;627.671936
525.000000;635.260437
526.000000;642.436707
527.000000;651.370605
528.000000;659.607971
529.000000;667.412170
530.000000;674.664307
531.000000;682.431152
532.000000;689.704651
533.000000;697.486023
534.000000;704.768311
535.000000;715.296326
536.000000;724.289917
537.000000;731.850830
538.000000;737.055359
539.000000;745.789001
540.000000;755.076538
541.000000;762.834900
542.000000;767.218628
543.000000;776.814331
544.000000;785.667969
545.000000;793.262329
546.000000;803.061707
547.000000;811.020752
548.000000;818.539917
549.000000;824.984497
550.000000;832.194946
551.000000;839.956970
552.000000;847.810120
553.000000;855.412903
554.000000;861.914490
555.000000;870.991089
556.000000;880.781738
557.000000;888.610596
558.000000;895.148682
559.000000;904.250305
560.000000;910.697693
561.000000;913.261780
562.000000;920.896545
563.000000;928.771057
564.000000;935.457031
565.000000;943.438416
566.000000;951.458984
567.000000;959.178223
568.000000;966.368042
569.000000;974.099609
570.000000;981.015991
571.000000;988.858826
572.000000;995.554443
573.000000;1003.543274
574.000000;1013.089355
575.000000;1020.795715
576.000000;1028.477295
577.000000;1036.262329
578.000000;1043.815308
579.000000;1050.587524
580.000000;1057.726929
581.000000;1066.348022
582.000000;1074.846436
583.000000;1082.282837
584.000000;1088.640869
585.000000;1097.615112
586.000000;1106.093872
587.000000;1114.097656
588.000000;1122.697998
589.000000;1137.856934
590.000000;1147.221680
591.000000;1152.339722
592.000000;1159.683472
593.000000;1167.400269
594.000000;1174.594238
595.000000;1182.006958
596.000000;1189.297119
597.000000;1194.963989
598.000000;1207.881226
599.000000;1216.208618
600.000000;1224.504517
601.000000;1233.943970
602.000000;1242.967285
603.000000;1251.060425
604.000000;1259.724976
605.000000;1267.582397
606.000000;1275.775024
607.000000;1283.914673
608.000000;1281.047119
609.000000;1286.100342
610.000000;1300.520386
611.000000;1310.442261
612.000000;1320.648560
613.000000;1328.553833
614.000000;1337.224121
615.000000;1344.231689
616.000000;1350.273560
617.000000;1358.408569
618.000000;1368.990234
619.000000;1377.255981
620.000000;1385.232910
621.000000;1393.830933
622.000000;1400.154663
623.000000;1407.539673
624.000000;1415.129272
625.000000;1424.369385
626.000000;1433.336426
627.000000;1445.351318
628.000000;1450.642578
629.000000;1457.009155
630.000000;1464.311035
631.000000;1471.229980
632.000000;1478.166382
633.000000;1487.556763
634.000000;1495.104614
635.000000;1502.721436
636.000000;1508.323730
637.000000;1514.562378
638.000000;1523.501221
639.000000;1529.802002
640.000000;1537.452148
641.000000;1544.932983
642.000000;1551.352783
643.000000;1557.921753
644.000000;1565.231567
645.000000;1574.895874
646.000000;1581.747681
647.000000;1587.929688
648.000000;1595.851196
649.000000;1603.528442
650.000000;1612.214111
651.000000;1620.729004
652.000000;1627.563232
653.000000;1624.064209
654.000000;1620.508179
655.000000;1631.949707
656.000000;1644.928711
657.000000;1655.798828
658.000000;1666.755859
659.000000;1674.936157
660.000000;1685.771240
661.000000;1695.952393
662.000000;1711.123535
663.000000;1716.737183
664.000000;1721.347778
665.000000;1728.861328
666.000000;1736.562012
667.000000;1742.527710
668.000000;1745.700195
669.000000;1758.746704
670.000000;1768.551514
671.000000;1774.852417
672.000000;1783.118408
673.000000;1791.358887
674.000000;1800.439087
675.000000;1805.872070
676.000000;1816.154663
677.000000;1822.683350
678.000000;1831.909424
679.000000;1839.334473
680.000000;1846.892578
681.000000;1855.501099
682.000000;1863.024658
683.000000;1869.462158
684.000000;1876.319214
685.000000;1883.843506
686.000000;1892.136963
687.000000;1898.520142
688.000000;1905.940063
689.000000;1912.966431
690.000000;1915.400757
691.000000;1924.871582
692.000000;1933.672241
693.000000;1940.861450
694.000000;1949.188599
695.000000;1958.044067
696.000000;1963.626221
697.000000;1972.243408
698.000000;1982.003052
699.000000;1988.280151
700.000000;1983.369629
701.000000;1984.155029
702.000000;1996.599854
703.000000;2006.572388
704.000000;2015.362915
705.000000;2024.316895
706.000000;2031.245483
707.000000;2039.551270
708.000000;2042.159668
709.000000;2051.794678
