tick;adc
0.000000;192.963913
1.000000;192.727737
2.000000;192.740707
3.000000;193.119904
4.000000;193.141235
5.000000;193.477631
6.000000;193.215759
7.000000;193.286469
8.000000;192.664505
9.000000;192.831573
10.000000;192.626007
11.000000;193.001205
12.000000;193.034454
13.000000;193.614563
14.000000;194.104248
15.000000;194.847473
16.000000;195.362549
17.000000;195.025970
18.000000;194.770782
19.000000;194.688492
20.000000;194.391220
21.000000;195.165329
22.000000;195.334946
23.000000;195.333847
24.000000;195.096634
25.000000;194.747864
26.000000;195.012344
27.000000;194.944366
28.000000;194.980637
29.000000;195.016556
30.000000;194.930145
31.000000;194.731522
32.000000;194.899460
33.000000;195.421097
34.000000;195.349396
35.000000;194.984390
36.000000;194.153641
37.000000;194.097534
38.000000;195.045731
39.000000;194.585037
40.000000;194.163773
41.000000;193.552139
42.000000;193.638306
43.000000;193.460678
44.000000;193.875610
45.000000;193.709320
46.000000;193.623108
47.000000;193.439926
48.000000;193.033539
49.000000;192.756378
50.000000;192.773270
51.000000;192.802032
52.000000;192.473099
53.000000;192.860764
54.000000;192.806564
55.000000;193.066315
56.000000;192.962692
57.000000;192.613998
58.000000;192.866852
59.000000;192.434204
60.000000;192.682129
61.000000;192.743484
62.000000;193.010406
63.000000;193.265305
64.000000;193.605789
65.000000;193.685272
66.000000;193.612503
67.000000;193.900299
68.000000;193.705429
69.000000;193.735764
70.000000;194.248047
71.000000;194.888016
72.000000;195.120590
73.000000;194.782669
74.000000;194.678696
75.000000;194.855042
76.000000;194.901031
77.000000;194.581604
78.000000;194.266525
79.000000;193.874283
80.000000;193.155426
81.000000;192.897354
82.000000;194.199997
83.000000;194.769760
84.000000;194.494751
85.000000;194.693207
86.000000;194.668045
87.000000;194.399918
88.000000;194.136612
89.000000;193.788895
90.000000;193.817749
91.000000;193.877655
92.000000;195.347473
93.000000;195.745392
94.000000;195.851227
95.000000;195.741730
96.000000;195.157547
97.000000;194.876999
98.000000;195.201599
99.000000;195.165314
100.000000;194.639908
101.000000;194.783432
102.000000;193.949539
103.000000;193.556549
104.000000;194.237442
105.000000;194.371582
106.000000;194.034882
107.000000;194.282959
108.000000;194.675186
109.000000;195.153214
110.000000;195.001038
111.000000;194.811066
112.000000;194.999054
113.000000;195.420486
114.000000;195.348663
115.000000;196.073502
116.000000;195.425049
117.000000;194.657837
118.000000;194.763290
119.000000;194.487274
120.000000;194.088074
121.000000;193.951813
122.000000;193.869141
123.000000;193.678360
124.000000;193.735535
125.000000;194.743439
126.000000;195.541046
127.000000;195.717804
128.000000;195.821335
129.000000;195.676285
130.000000;196.478867
131.000000;196.642960
132.000000;196.415009
133.000000;196.068558
134.000000;195.387390
135.000000;194.683044
136.000000;194.788742
137.000000;195.340271
138.000000;195.296707
139.000000;195.072754
140.000000;195.333527
141.000000;195.005890
142.000000;195.604233
143.000000;196.032196
144.000000;195.162888
145.000000;194.831146
146.000000;194.170944
147.000000;193.930405
148.000000;194.186127
149.000000;194.668076
150.000000;194.897934
151.000000;194.349243
152.000000;194.001602
153.000000;194.112640
154.000000;194.232178
155.000000;194.455154
156.000000;194.424957
157.000000;194.859268
158.000000;194.583878
159.000000;194.854553
160.000000;194.673370
