tick;adc
0;193
1;191
2;193
3;196
4;193
5;196
6;191
7;194
8;188
9;195
10;191
11;196
12;193
13;198
14;197
15;200
16;198
17;192
18;193
19;194
20;192
21;201
22;195
23;195
24;193
25;192
26;197
27;194
28;195
29;195
30;194
31;193
32;196
33;199
34;194
35;192
36;188
37;195
38;202
39;189
40;192
41;189
42;195
43;192
44;197
45;192
46;193
47;192
48;190
49;191
50;193
51;193
52;190
53;196
54;192
55;195
56;192
57;190
58;195
59;189
60;195
61;193
62;195
63;195
64;196
65;194
66;193
67;196
68;192
69;194
70;198
71;199
72;196
73;192
74;194
75;196
76;195
77;192
78;192
79;191
80;188
81;192
82;204
83;195
84;192
85;196
86;194
87;192
88;192
89;191
90;194
91;194
92;206
93;193
94;196
95;194
96;190
97;193
98;197
99;194
100;190
101;196
102;187
103;192
104;199
105;194
106;191
107;196
108;197
109;198
110;193
111;193
112;196
113;198
114;194
115;201
116;189
117;190
118;196
119;192
120;191
121;193
122;193
123;192
124;194
125;202
126;199
127;196
128;196
129;194
130;202
131;196
132;194
133;193
134;190
135;190
136;196
137;199
138;194
139;193
140;197
141;192
142;200
143;198
144;188
145;194
146;189
147;193
148;196
149;198
150;196
151;190
152;192
153;195
154;195
155;196
156;194
157;198
158;192
159;197
160;193
161;197
162;198
163;193
164;193
165;196
166;195
167;188
168;192
169;193
170;188
171;194
172;193
173;190
174;192
175;197
176;193
177;194
178;197
179;190
180;188
181;196
182;191
183;202
184;192
185;190
186;193
187;196
188;194
189;193
190;193
191;193
192;195
193;196
194;199
195;193
196;190
197;195
198;193
199;202
200;192
201;192
202;190
203;198
204;194
205;196
206;192
207;188
208;203
209;191
210;193
211;189
212;198
213;198
214;194
215;190
216;193
217;193
218;194
219;192
220;196
221;199
222;193
223;196
224;194
225;199
226;195
227;193
228;194
229;194
230;191
231;193
232;196
233;191
234;192
235;198
236;194
237;195
238;191
239;196
240;193
241;196
242;193
243;195
244;193
245;186
246;201
247;193
248;196
249;187
250;193
251;196
252;192
253;192
254;196
255;192
256;196
257;195
258;195
259;194
260;197
261;190
262;198
263;195
264;196
265;198
266;195
267;195
268;186
269;197
270;190
271;191
272;191
273;197
274;193
275;192
276;193
277;193
278;193
279;193
280;196
281;196
282;196
283;192
284;197
285;197
286;188
287;195
288;196
289;194
290;190
291;194
292;196
293;193
294;194
295;190
296;198
297;188
298;199
299;193
300;193
301;195
302;198
303;204
304;191
305;196
306;196
307;201
308;194
309;193
310;193
311;190
312;200
313;196
314;192
315;190
316;193
317;194
318;191
319;202
320;196
321;194
322;192
323;193
324;197
325;190
326;193
327;193
328;190
329;196
330;196
331;193
332;197
333;193
334;196
335;195
336;198
337;195
338;196
339;191
340;196
341;202
342;196
343;189
344;190
345;196
346;202
347;198
348;196
349;196
350;188
351;193
352;196
353;193
354;192
355;193
356;196
357;196
358;194
359;194
360;195
361;192
362;194
363;194
364;191
365;195
366;197
367;192
368;197
369;194
370;191
371;198
372;194
373;198
374;198
375;192
376;183
377;192
378;194
379;196
380;194
381;188
382;188
383;190
384;197
385;196
386;190
387;193
388;194
389;199
390;195
391;199
392;195
393;195
394;185
395;195
396;196
397;197
398;193
399;193
400;193
401;190
402;194
403;194
404;191
405;193
406;194
407;197
408;196
409;192
410;192
411;192
412;196
413;199
414;190
415;181
416;193
417;194
418;197
419;199
420;193
421;194
422;190
423;194
424;195
425;187
426;194
427;194
428;192
429;199
430;195
431;192
432;194
433;193
434;191
435;189
436;193
437;206
438;190
439;197
440;202
441;192
442;192
443;192
444;201
445;194
446;194
447;193
448;193
449;193
450;192
451;165
452;201
453;203
454;196
455;205
456;208
457;213
458;215
459;218
460;219
461;225
462;232
463;235
464;242
465;247
466;248
467;257
468;263
469;267
470;270
471;265
472;284
473;299
474;286
475;302
476;306
477;315
478;321
479;326
480;330
481;335
482;346
483;353
484;360
485;365
486;369
487;378
488;382
489;393
490;401
491;407
492;417
493;427
494;427
495;439
496;442
497;446
498;457
499;458
500;470
501;475
502;484
503;492
504;508
505;502
506;506
507;516
508;516
509;528
510;521
511;541
512;545
513;557
514;562
515;572
516;579
517;587
518;597
519;595
520;606
521;604
522;617
523;625
524;627
525;639
526;645
527;658
528;664
529;671
530;677
531;686
532;692
533;701
534;707
535;725
536;729
537;734
538;734
539;751
540;761
541;765
542;762
543;784
544;790
545;795
546;810
547;813
548;820
549;824
550;833
551;842
552;850
553;857
554;861
555;876
556;887
557;890
558;894
559;909
560;909
561;903
562;924
563;931
564;935
565;946
566;954
567;961
568;967
569;976
570;981
571;991
572;995
573;1006
